"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.478906250E4,2.361516395E0
1.481250000E4,3.393426874E0
1.483593750E4,3.405669787E0
1.485937500E4,1.152568455E1
1.488281250E4,9.215096047E0
1.490625000E4,2.787576380E0
1.492968750E4,1.039540538E0
1.495312500E4,1.646103527E0
1.497656250E4,4.606325500E0
1.500000000E4,8.029152173E0
1.502343750E4,2.061611442E0
1.504687500E4,3.414181768E0
1.507031250E4,2.155097177E0
1.509375000E4,3.168229995E-1
1.511718750E4,4.221710266E0
1.514062500E4,2.468672550E0
1.516406250E4,1.660975823E0
1.518750000E4,2.386326694E0
1.521093750E4,5.293577572E0
1.523437500E4,7.613416986E0
1.525781250E4,5.186306956E0
1.528125000E4,2.885498365E0
1.530468750E4,5.731574156E0
1.532812500E4,3.485854801E0
1.535156250E4,5.717197603E0
1.537500000E4,3.069112934E0
1.539843750E4,6.005109291E0
1.542187500E4,4.819963819E0
1.544531250E4,3.223624005E0
1.546875000E4,4.296567191E0
1.549218750E4,3.714631459E0
1.551562500E4,4.142859430E0
1.553906250E4,3.254625140E0
1.556250000E4,2.550526426E0
1.558593750E4,5.589507782E0
1.560937500E4,7.498618384E0
1.563281250E4,1.796367777E0
1.565625000E4,3.685088508E0
1.567968750E4,4.052082711E0
1.570312500E4,5.910383330E0
1.572656250E4,4.090068123E0
1.575000000E4,3.517952356E0
1.577343750E4,5.170320600E0
1.579687500E4,1.328415233E0
1.582031250E4,3.270581176E0
1.584375000E4,1.115118349E0
1.586718750E4,2.550640885E0
1.589062500E4,4.997137335E0
1.591406250E4,1.890322018E0
1.593750000E4,3.709207044E0
1.596093750E4,1.143842810E0
1.598437500E4,1.648429408E0
1.600781250E4,1.097481858E0
1.603125000E4,3.619487094E0
1.605468750E4,3.023744225E0
1.607812500E4,4.483865769E0
1.610156250E4,5.520146284E0
1.612500000E4,1.040140420E0
1.614843750E4,2.639226105E0
1.617187500E4,3.002284840E0
1.619531250E4,5.876587755E-1
1.621875000E4,2.427727833E0
1.624218750E4,2.646972997E0
1.626562500E4,4.674527886E0
1.628906250E4,1.586638678E0
1.631250000E4,1.668357187E0
1.633593750E4,1.673860239E0
1.635937500E4,5.302042983E0
1.638281250E4,5.155211555E0
1.640625000E4,1.758216356E0
1.642968750E4,2.742561344E0
1.645312500E4,5.187479606E0
1.647656250E4,2.890959105E0
1.650000000E4,5.563550220E0
1.652343750E4,4.078801753E0
1.654687500E4,5.267467052E0
1.657031250E4,2.390208833E0
1.659375000E4,2.034793562E0
1.661718750E4,1.929331344E0
1.664062500E4,4.569016992E0
1.666406250E4,3.779461299E0
1.668750000E4,1.328783873E0
1.671093750E4,1.412910681E0
1.673437500E4,2.182035801E0
1.675781250E4,2.565809764E0
1.678125000E4,4.664754599E0
1.680468750E4,2.014999580E0
1.682812500E4,1.084024158E0
1.685156250E4,3.376028852E-1
1.687500000E4,2.279936445E0
1.689843750E4,2.652394346E0
1.692187500E4,1.545843761E0
1.694531250E4,3.806658269E0
1.696875000E4,1.851555063E-1
1.699218750E4,4.546073028E0
1.701562500E4,2.952005671E0
1.703906250E4,2.291927563E0
1.706250000E4,1.849824972E0
1.708593750E4,4.389166603E0
1.710937500E4,3.410352266E0
1.713281250E4,2.227576149E0
1.715625000E4,1.128293416E0
1.717968750E4,9.622447729E-1
1.720312500E4,1.492931078E0
1.722656250E4,9.205206204E-1
1.725000000E4,2.122879872E0
1.727343750E4,5.941997970E0
1.729687500E4,3.156619175E0
1.732031250E4,1.915926040E0
1.734375000E4,1.723968388E0
1.736718750E4,1.599990034E0
1.739062500E4,2.172209864E0
1.741406250E4,2.642953091E0
1.743750000E4,2.591213201E0
1.746093750E4,2.004149014E0
1.748437500E4,5.353664229E-1
1.750781250E4,5.226491742E-1
1.753125000E4,3.879637968E0
1.755468750E4,1.983202535E0
1.757812500E4,3.538347897E0
1.760156250E4,5.621327419E0
1.762500000E4,4.562906740E0
1.764843750E4,3.494035150E0
1.767187500E4,1.923403476E0
1.769531250E4,2.085805715E0
1.771875000E4,1.638497362E0
1.774218750E4,5.361710030E-1
1.776562500E4,9.220183867E-1
1.778906250E4,2.935918425E0
